iter	RMSE
0	76372.17756
1	74506.52281
2	72620.38453
3	70702.23556
4	68799.70939
5	67237.31754
6	65668.58261
7	64152.07763
8	62671.69504
9	61313.58985
10	59904.36938
11	58604.13622
12	57269.02111
13	56025.46502
14	54831.19485
15	53918.29939
16	52736.21944
17	51634.62677
18	50611.67823
19	49630.75475
20	48737.65196
21	47881.24174
22	46948.27194
23	46056.77847
24	45272.52162
25	44436.18552
26	43714.87768
27	42978.87864
28	42297.96292
29	41657.79562
30	40976.89482
31	40268.63733
32	39674.11438
33	39015.78874
34	38423.15366
35	37900.22743
36	37417.60836
37	36874.89615
38	36367.0227
39	35832.20206
40	35299.80138
41	34882.70419
42	34463.67943
43	34087.11561
44	33632.918
45	33267.27886
46	32860.16663
47	32513.51388
48	32203.52995
49	31820.84682
50	31413.77986
51	31112.21584
52	30780.59072
53	30467.27708
54	30150.79226
55	29822.87124
56	29541.61339
57	29244.26435
58	29026.63423
59	28726.78452
60	28511.95825
61	28309.49116
62	28103.6647
63	27869.99999
64	27661.80424
65	27438.04044
66	27203.82936
67	26989.50957
68	26799.45241
69	26591.63055
70	26415.12724
71	26204.13177
72	26008.23783
73	25894.57403
74	25701.37081
75	25509.10509
76	25338.78268
77	25203.57418
78	25048.3893
79	24861.91826
80	24731.18577
81	24579.85202
82	24478.23753
83	24333.73734
84	24162.63236
85	24034.06438
86	23884.53167
87	23763.71935
88	23722.60135
89	23627.11376
90	23537.65089
91	23402.18477
92	23262.37034
93	23165.05478
94	23018.81572
95	22952.69871
96	22849.27684
97	22737.16777
98	22652.35112
99	22613.7419
100	22506.8783
101	22407.66136
102	22283.98326
103	22160.72139
104	22047.59312
105	21939.37821
106	21841.46147
107	21743.96885
108	21637.53358
109	21551.94579
110	21480.32209
111	21354.34636
112	21265.43389
113	21177.64963
114	21092.39856
115	21004.41639
116	20935.43982
117	20852.50998
118	20780.01787
119	20749.72288
120	20652.60739
121	20536.28787
122	20467.46604
123	20393.50769
124	20324.64839
125	20215.89746
126	20169.4205
127	20098.14097
128	20016.24693
129	19937.38464
130	19888.72175
131	19841.08819
132	19769.07257
133	19713.4293
134	19651.1488
135	19599.59114
136	19525.63893
137	19461.06809
138	19390.27228
139	19312.52346
140	19249.16647
141	19212.85706
142	19180.81352
143	19130.54152
144	19052.68402
145	18997.92229
146	18955.67784
147	18873.30292
148	18811.4981
149	18746.58897
150	18675.03356
151	18614.92359
152	18551.00433
153	18501.42678
154	18455.78565
155	18418.65198
156	18365.36865
157	18320.53467
158	18281.2868
159	18244.80144
160	18200.01055
161	18155.36757
162	18096.43207
163	18031.42071
164	17979.83092
165	17939.27995
166	17870.10891
167	17823.79211
168	17778.90445
169	17736.54534
170	17701.12372
171	17652.47204
172	17599.01331
173	17569.34245
174	17530.43753
175	17470.15947
176	17413.19074
177	17364.83458
178	17316.24433
179	17298.92075
180	17258.46943
181	17220.37877
182	17196.26035
183	17146.36285
184	17101.62857
185	17061.60416
186	17010.11452
187	16976.42997
188	16926.75827
189	16876.71806
190	16825.73726
191	16790.45203
192	16748.85881
193	16705.7522
194	16674.91583
195	16636.61198
196	16595.47229
197	16550.76125
198	16507.24485
199	16477.71541
200	16451.4905
201	16405.24564
202	16381.83868
203	16337.57479
204	16308.39146
205	16264.85821
206	16240.59411
207	16212.17993
208	16172.65945
209	16137.62386
210	16117.04329
211	16080.31258
212	16047.75644
213	16015.64574
214	15975.05096
215	15949.57829
216	15903.39041
217	15866.84367
218	15831.18891
219	15813.28227
220	15784.31587
221	15766.23484
222	15714.97688
223	15671.0206
224	15640.42398
225	15588.21203
226	15535.60706
227	15499.40853
228	15469.42687
229	15442.37764
230	15428.82957
231	15393.07367
232	15373.85813
233	15351.19933
234	15320.32072
235	15310.99816
236	15276.00247
237	15248.38976
238	15237.30435
239	15228.4524
240	15177.6681
241	15124.18215
242	15088.60718
243	15082.28151
244	15072.66699
245	15044.6223
246	15023.75317
247	14981.64175
248	14947.02228
249	14908.29445
250	14878.10113
251	14870.0049
252	14835.80495
253	14830.0099
254	14815.42961
255	14786.608
256	14780.32428
257	14754.31151
258	14708.26219
259	14679.7089
260	14653.96638
261	14615.86713
262	14610.55384
263	14574.64873
264	14559.47572
265	14553.74697
266	14547.66473
267	14531.61451
268	14497.13589
269	14462.86231
270	14435.67056
271	14406.95713
272	14385.22568
273	14338.33376
274	14297.55035
275	14292.91754
276	14286.83055
277	14267.62468
278	14226.32263
279	14199.97659
280	14191.41957
281	14157.87128
282	14128.29908
283	14075.49478
284	14061.39501
285	14044.29718
286	14027.73854
287	14013.718
288	14009.60965
289	13968.19136
290	13964.16668
291	13923.34384
292	13889.37159
293	13870.93648
294	13866.45122
295	13824.40479
296	13778.29976
297	13743.47258
298	13726.75985
299	13689.93871
300	13658.92845
301	13629.41215
302	13607.49182
303	13581.95412
304	13547.34344
305	13543.15421
306	13506.87093
307	13480.6156
308	13451.9912
309	13412.4646
310	13375.15906
311	13338.44058
312	13306.41416
313	13278.00324
314	13254.9112
315	13245.82578
316	13242.11105
317	13232.08479
318	13187.78106
319	13161.66096
320	13157.01175
321	13144.44134
322	13140.94048
323	13110.75178
324	13084.02573
325	13068.61981
326	13044.60299
327	13020.05868
328	13007.75155
329	12984.68673
330	12980.3172
331	12977.04548
332	12971.50191
333	12936.53742
334	12900.96533
335	12867.24645
336	12833.13873
337	12818.70325
338	12788.89891
339	12771.75163
340	12756.77059
341	12753.61354
342	12732.22116
343	12704.41927
344	12678.11149
345	12655.27822
346	12643.5857
347	12637.66092
348	12612.25419
349	12609.24343
350	12606.0193
351	12580.94947
352	12563.91481
353	12539.65519
354	12516.34407
355	12505.50506
356	12479.52593
357	12464.92279
358	12439.03472
359	12435.57014
360	12413.71953
361	12399.29108
362	12369.66602
363	12365.18066
364	12355.32925
365	12336.34124
366	12317.08442
367	12290.69044
368	12263.96453
369	12235.39253
370	12220.46664
371	12201.13446
372	12184.04435
373	12166.58649
374	12150.42644
375	12138.42759
376	12115.313
377	12094.92546
378	12071.09153
379	12047.19622
380	12041.81006
381	12038.4208
382	12014.23806
383	11991.98768
384	11972.96555
385	11928.47808
386	11896.53245
387	11865.43298
388	11837.73832
389	11796.651
390	11775.495
391	11758.61463
392	11740.0449
393	11716.44374
394	11689.49468
395	11654.84727
396	11637.26665
397	11614.45565
398	11611.30141
399	11608.26145
400	11600.23222
401	11597.16756
402	11571.05761
403	11567.76326
404	11540.85953
405	11522.11511
406	11499.51035
407	11496.39435
408	11471.77545
409	11439.90561
410	11421.84541
411	11400.81755
412	11382.01442
413	11379.18251
414	11376.60659
415	11352.32128
416	11349.69858
417	11346.86252
418	11323.53087
419	11291.64318
420	11286.45354
421	11262.72517
422	11249.64253
423	11216.81515
424	11206.97373
425	11182.67497
426	11180.36315
427	11177.91294
428	11175.35014
429	11172.8607
430	11165.56
431	11158.55458
432	11156.49253
433	11154.14503
434	11151.8642
435	11149.74279
436	11129.47451
437	11127.42005
438	11125.29834
439	11109.00345
440	11088.63877
441	11065.49869
442	11040.09197
443	11037.99799
444	11016.37052
445	10992.53036
446	10982.71023
447	10962.37556
448	10960.2743
449	10936.6545
450	10934.91055
451	10911.45718
452	10890.1893
453	10869.40239
454	10867.5591
455	10844.5083
456	10838.10558
457	10817.96882
458	10805.56313
459	10799.8743
460	10788.21649
461	10757.32917
462	10732.09503
463	10708.92548
464	10685.70137
465	10665.4044
466	10648.04327
467	10632.58039
468	10608.04845
469	10577.34567
470	10555.26362
471	10536.00873
472	10527.11089
473	10522.53887
474	10502.14078
475	10487.66043
476	10465.90475
477	10445.55943
478	10428.42609
479	10412.65028
480	10395.99226
481	10367.10892
482	10336.70071
483	10320.3337
484	10300.12003
485	10289.68835
486	10287.99078
487	10265.71027
488	10246.89161
489	10226.88647
490	10209.60358
491	10197.34376
492	10175.02428
493	10157.03732
494	10137.29748
495	10110.0855
496	10093.7856
497	10078.33998
498	10053.20774
499	10037.34901
500	10016.34836
501	9990.277385
502	9965.432988
503	9940.477192
504	9919.353763
505	9902.251953
506	9879.317074
507	9859.923536
508	9832.397178
509	9813.904521
510	9805.154515
511	9790.390807
512	9775.558401
513	9754.526372
514	9736.591744
515	9719.555066
516	9701.869209
517	9688.882421
518	9667.507829
519	9648.965222
520	9641.377835
521	9625.834616
522	9600.011007
523	9583.973164
524	9563.202078
525	9545.63104
526	9533.587931
527	9513.70037
528	9489.192609
529	9470.22859
530	9452.769732
531	9430.99982
532	9407.473895
533	9388.045302
534	9373.356567
535	9348.195474
536	9334.134718
537	9319.571617
538	9305.723093
539	9290.091706
