iter	Passed	Remaining
0	10	10445
1	12	6191
2	14	4760
3	16	4035
4	18	3614
5	20	3326
6	22	3121
7	23	2974
8	25	2856
9	27	2766
10	29	2687
11	31	2624
12	33	2569
13	35	2515
14	37	2472
15	39	2444
16	41	2410
17	43	2379
18	45	2349
19	47	2323
20	49	2303
21	51	2286
22	53	2266
23	55	2261
24	57	2261
25	59	2246
26	61	2228
27	63	2212
28	65	2202
29	67	2193
30	69	2186
31	71	2173
32	73	2161
33	75	2151
34	77	2140
35	79	2128
36	81	2119
37	83	2115
38	85	2110
39	87	2103
40	89	2092
41	91	2084
42	93	2079
43	95	2072
44	97	2063
45	99	2058
46	101	2054
47	103	2049
48	105	2043
49	107	2039
50	109	2034
51	111	2028
52	113	2021
53	115	2016
54	117	2013
55	119	2009
56	121	2002
57	122	1996
58	124	1991
59	126	1985
60	128	1980
61	130	1976
62	132	1971
63	134	1966
64	136	1961
65	138	1956
66	140	1950
67	142	1947
68	143	1942
69	146	1942
70	148	1939
71	150	1934
72	151	1929
73	153	1925
74	155	1920
75	157	1916
76	159	1912
77	161	1910
78	163	1911
79	166	1911
80	168	1908
81	170	1904
82	172	1901
83	174	1897
84	175	1894
85	177	1891
86	179	1887
87	181	1883
88	183	1880
89	185	1876
90	187	1874
91	189	1870
92	191	1869
93	194	1869
94	196	1869
95	198	1871
96	200	1869
97	202	1865
98	204	1861
99	206	1862
100	208	1858
101	210	1855
102	211	1843
103	213	1843
104	215	1840
105	217	1836
106	219	1833
107	221	1831
108	223	1827
109	225	1824
110	227	1821
111	229	1818
112	231	1815
113	233	1812
114	235	1809
115	237	1807
116	239	1804
117	241	1801
118	242	1794
119	244	1791
120	246	1788
121	247	1784
122	249	1780
123	251	1778
124	253	1775
125	255	1772
126	257	1770
127	259	1767
128	261	1765
129	263	1762
130	265	1759
131	267	1757
132	269	1754
133	271	1752
134	273	1749
135	274	1746
136	276	1743
137	278	1741
138	280	1738
139	282	1736
140	284	1733
141	286	1730
142	288	1728
143	290	1725
144	292	1722
145	294	1719
146	295	1717
147	298	1716
148	299	1710
149	301	1707
150	303	1704
151	305	1701
152	306	1699
153	308	1697
154	310	1694
155	312	1692
156	314	1689
157	316	1686
158	318	1684
159	320	1681
160	321	1674
161	323	1671
162	325	1669
163	327	1667
164	329	1665
165	331	1663
166	332	1660
167	334	1658
168	336	1655
169	338	1653
170	340	1650
171	342	1648
172	344	1647
173	346	1645
174	348	1642
175	349	1634
176	351	1632
177	352	1629
178	354	1627
179	356	1625
180	359	1624
181	361	1623
182	363	1621
183	365	1619
184	367	1616
185	368	1614
186	370	1612
187	372	1609
188	373	1602
189	374	1594
190	376	1593
191	376	1585
192	378	1583
193	380	1580
194	382	1578
195	384	1576
196	386	1574
197	388	1572
198	390	1570
199	392	1569
200	394	1567
201	396	1565
202	398	1563
203	400	1561
204	402	1559
205	404	1558
206	405	1551
207	406	1547
208	408	1544
209	410	1544
210	412	1543
211	414	1540
212	416	1539
213	418	1537
214	419	1531
215	420	1524
216	421	1522
217	424	1521
218	433	1546
219	435	1543
220	437	1541
221	439	1540
222	441	1538
223	443	1536
224	445	1534
225	447	1532
226	449	1530
227	451	1528
228	453	1525
229	455	1523
230	457	1522
231	459	1519
232	460	1517
233	462	1515
234	464	1513
235	465	1507
236	467	1504
237	469	1502
238	471	1500
239	473	1499
240	475	1497
241	477	1494
242	479	1493
243	480	1487
244	480	1481
245	482	1479
246	484	1477
247	486	1476
248	489	1475
249	491	1473
250	493	1471
251	495	1469
252	495	1463
253	497	1461
254	499	1460
255	501	1457
256	503	1455
257	505	1453
258	507	1451
259	509	1449
260	511	1447
261	513	1445
262	514	1443
263	516	1440
264	518	1438
265	520	1436
266	522	1434
267	524	1433
268	526	1431
269	528	1428
270	530	1426
271	532	1424
272	534	1422
273	535	1419
274	537	1417
275	538	1413
276	540	1411
277	542	1409
278	544	1407
279	546	1405
280	548	1402
281	550	1400
282	552	1398
283	554	1396
284	556	1395
285	558	1393
286	560	1391
287	561	1389
288	563	1387
289	565	1384
290	567	1382
291	569	1380
292	571	1379
293	573	1377
294	575	1374
295	577	1372
296	579	1370
297	580	1368
298	582	1366
299	584	1364
300	586	1362
301	588	1360
302	590	1358
303	592	1356
304	594	1354
305	596	1352
306	598	1350
307	600	1348
308	601	1346
309	603	1343
310	605	1341
311	607	1339
312	609	1337
313	611	1335
314	613	1333
315	615	1331
316	617	1330
317	619	1328
318	621	1327
319	624	1326
320	626	1324
321	628	1322
322	630	1320
323	632	1320
324	635	1319
325	637	1317
326	639	1316
327	641	1314
328	643	1312
329	645	1310
330	647	1308
331	649	1306
332	651	1304
333	653	1302
334	655	1300
335	656	1298
336	658	1295
337	660	1293
338	662	1291
339	664	1289
340	666	1287
341	668	1285
342	670	1283
343	671	1281
344	673	1279
345	675	1277
346	677	1275
347	679	1273
348	681	1271
349	683	1269
350	685	1267
351	687	1265
352	689	1262
353	691	1261
354	692	1258
355	694	1256
356	696	1254
357	698	1252
358	700	1250
359	702	1248
360	704	1246
361	706	1244
362	708	1242
363	710	1240
364	712	1238
365	713	1236
366	715	1234
367	717	1232
368	719	1230
369	721	1228
370	723	1226
371	725	1225
372	728	1223
373	730	1222
374	732	1220
375	734	1218
376	736	1216
377	738	1214
378	740	1212
379	741	1210
380	743	1208
381	745	1206
382	747	1204
383	749	1202
384	751	1200
385	753	1198
386	755	1196
387	757	1194
388	759	1192
389	761	1191
390	763	1189
391	765	1186
392	767	1185
393	769	1183
394	771	1181
395	772	1178
396	774	1176
397	776	1174
398	778	1172
399	780	1171
400	782	1169
401	783	1165
402	785	1163
403	787	1161
404	789	1159
405	791	1158
406	793	1156
407	795	1154
408	797	1152
409	799	1150
410	801	1148
411	803	1146
412	805	1144
413	807	1142
414	809	1140
415	811	1138
416	812	1136
417	814	1134
418	816	1132
419	818	1130
420	820	1128
421	822	1126
422	824	1124
423	826	1122
424	828	1120
425	830	1118
426	832	1116
427	834	1114
428	835	1112
429	837	1110
430	839	1108
431	841	1106
432	843	1104
433	845	1102
434	847	1100
435	849	1098
436	851	1096
437	853	1094
438	855	1092
439	857	1091
440	859	1089
441	861	1087
442	863	1085
443	865	1083
444	867	1081
445	869	1079
446	871	1077
447	873	1076
448	875	1074
449	877	1072
450	879	1070
451	881	1068
452	883	1066
453	885	1064
454	887	1063
455	889	1061
456	891	1059
457	893	1057
458	895	1055
459	897	1053
460	899	1051
461	901	1049
462	903	1047
463	905	1045
464	907	1043
465	909	1041
466	911	1039
467	912	1037
468	914	1035
469	916	1034
470	918	1032
471	920	1030
472	922	1028
473	924	1026
474	926	1024
475	928	1022
476	930	1020
477	932	1018
478	934	1016
479	936	1014
480	938	1012
481	940	1010
482	942	1008
483	944	1006
484	946	1004
485	948	1003
486	950	1001
487	952	999
488	954	997
489	956	995
490	958	993
491	960	991
492	961	989
493	963	987
494	965	985
495	967	983
496	969	981
497	971	979
498	973	977
499	975	975
500	977	973
501	979	971
502	981	969
503	983	967
504	985	965
505	987	963
506	989	961
507	991	959
508	993	958
509	995	956
510	997	954
511	998	952
512	1000	950
513	1002	948
514	1004	946
515	1006	944
516	1008	942
517	1010	940
518	1012	938
519	1014	936
520	1016	934
521	1018	932
522	1019	930
523	1021	928
524	1023	926
525	1025	924
526	1027	922
527	1029	920
528	1031	918
529	1033	916
530	1035	914
531	1037	912
532	1040	911
533	1043	910
534	1045	908
535	1046	906
536	1048	904
537	1050	902
538	1053	900
539	1054	898
540	1057	897
541	1059	895
542	1061	893
543	1063	891
544	1065	889
545	1066	887
546	1069	885
547	1071	883
548	1073	881
549	1075	879
550	1077	877
551	1079	876
552	1081	874
553	1083	872
554	1085	870
555	1087	868
556	1089	866
557	1091	864
558	1093	862
559	1094	860
560	1096	858
561	1098	856
